symbol,pval,FC_type2vstype1
A2ML1,0.000198682,1.762651427
A2M,0.003333703,1.424186275
AAMP,2.50E-06,1.22637054
AARS,3.00E-10,1.466134213
AATK,8.05E-05,1.759656073
ABCA4,0.006125305,2.198659689
ABCB5,6.94E-05,3.157967495
ABCB7,3.09E-08,1.348164736
ABCC1,4.67E-05,1.353866356
ABCC2,4.25E-12,9.481177074
ABCC8,0.001114294,1.865745774
ABCD2,0.001237471,1.61881783
ABCE1,0.003422522,1.152924805
ABCG2,2.70E-08,2.088603468
ABLIM3,0.001849578,1.674426032
ABTB2,0.000108534,1.495218219
ACADSB,0.000470295,1.527213744
ACAN,9.49E-09,3.845339822
ACAT2,5.77E-05,1.315278496
ACBD6,6.61E-05,1.204856923
ACO1,7.86E-06,1.531789369
ACOT12,2.00E-07,3.338305638
ACOT1,0.000585328,1.488717742
ACOT2,0.000362128,1.484876814
ACOT4,1.57E-05,2.187037523
ACOT7,6.03E-09,2.019569878
ACSBG2,0.00615006,1.567842756
ACSF2,8.43E-09,3.386123674
ACSL1,1.81E-08,2.047028134
ACSL3,0.000248258,1.295538417
ACSL4,0.001284048,1.400080451
ACSM3,2.28E-05,1.595371303
ACTA2,1.76E-08,2.204006689
ACTC1,2.47E-08,4.032823178
ACTG2,4.52E-10,5.659647595
ACTN1,0.006445135,1.221644027
ACTN4,6.94E-06,1.261459351
ACTR10,0.006630115,1.129290451
ACTR2,0.001782683,1.228937266
ACTR3,0.005736786,1.15294977
ACVR1C,3.99E-07,2.417499986
ADAM15,0.005784975,1.254229604
ADAM18,0.006519561,1.212318332
ADAM19,2.98E-05,1.930843864
ADAM22,1.49E-08,3.165740694
ADAM33,7.74E-05,2.106634677
ADAM6,0.006779848,2.443455726
ADAM7,3.96E-10,4.805452376
ADAMTS12,2.02E-07,2.490267951
ADAMTS2,0.001337437,1.92966829
ADAMTS4,1.17E-07,3.263736898
ADAMTS6,0.009791608,1.491016204
ADAMTSL1,3.36E-05,2.788787112
ADCY1,9.46E-10,4.125847345
ADCY3,2.92E-07,1.883993037
ADCY4,0.000427747,1.760974806
ADCY5,2.30E-05,2.186018077
ADCYAP1R1,0.001112105,1.078211985
ADD3,0.002392327,1.300963451
ADH1B,0.003943558,2.510293525
ADH1C,2.18E-05,3.714792056
ADH4,6.32E-05,1.768298054
ADH5,1.47E-05,1.306656366
ADH6,1.35E-05,3.508573273
ADI1,5.48E-06,1.458754012
ADK,0.000635622,1.208269006
ADM,1.42E-08,2.768612581
ADORA2A,0.003583256,1.331159599
ADORA2B,0.000257021,1.71768713
ADRA2A,0.000716543,1.81565381
ADRB1,0.008918089,1.624936746
ADSS,0.004514952,1.174907956
AFAP1L1,5.06E-05,1.515313192
AFAP1L2,2.31E-06,2.907732133
AFF1,0.008300801,1.210978726
AFG3L2,0.000787332,1.300347751
AFM,0.004304278,2.58090076
AFP,0.00484079,1.777132265
AGAP1,5.78E-05,1.399677146
AGA,0.001332834,1.191317547
AGMAT,0.002327606,2.470130938
AGPAT3,0.00025185,1.316306591
AGPAT9,6.37E-07,2.265720016
AGXT2,0.000775522,3.319338121
AHCYL1,3.09E-06,1.316548303
AHCY,9.46E-05,1.307737122
AIM2,0.002519091,1.645816805
AK2,2.43E-08,1.349274906
AK3L1,0.001655562,1.723703481
AK5,3.66E-10,4.447105614
AKR1B10,2.29E-10,20.68497409
AKR1B15,1.23E-06,3.796873261
ALAD,0.001530038,1.31524402
ALDH18A1,0.007313404,1.150041824
ALDH1A1,0.002166369,1.460138432
ALDH1B1,9.54E-11,2.462964155
ALDH1L1,0.001287287,2.032838838
ALDH1L2,1.97E-09,2.700711838
ALDH4A1,0.000427395,1.863891052
ALDH5A1,3.11E-05,1.388823358
ALDH6A1,0.001493572,1.943805636
ALDH7A1,7.50E-09,1.578812058
ALDH9A1,1.93E-11,1.65114704
ALDOA,0.000483851,1.360393535
ALDOB,8.55E-06,8.412760285
ALG8,0.002466647,1.124773734
ALPL,0.000178693,1.998610511
AMBP,3.14E-09,4.25492131
AMBRA1,0.000410212,1.15177228
AMD1,0.00714533,1.199801108
AMFR,1.59E-11,1.66447221
AMIGO2,0.000829691,1.854573069
ANAPC10,0.000127508,1.208949621
ANGPT1,0.004136294,1.941387224
ANGPT2,1.50E-13,3.462798558
ANGPT4,6.78E-07,1.953709032
ANGPTL2,2.76E-05,2.028358456
ANK2,2.28E-08,3.886739396
ANK3,0.001318359,1.456490479
ANKFN1,0.000794872,1.34276112
ANKRD16,0.002875468,1.168437679
ANKRD1,0.003000722,1.887563246
ANKRD27,7.30E-05,1.189412245
ANKRD30B,0.001438168,1.513195019
ANKRD34C,0.000156409,1.52994479
ANKRD35,2.14E-05,1.931274875
ANKRD46,1.77E-06,1.444107093
ANKRD6,0.002581931,1.217013623
ANO1,0.003266289,1.642482961
ANO2,2.40E-05,1.876902195
ANO6,0.000112742,1.327339037
ANXA6,1.52E-14,1.973327958
ANXA8L2,0.003183088,1.628697021
ANXA9,1.67E-06,2.208175693
AOC3,6.53E-07,2.63090653
AP2A1,0.003147206,1.146430447
AP2A2,0.000466301,1.156372598
AP2S1,0.001254664,1.225112001
AP3B1,0.005115512,1.154226999
AP3D1,0.000168768,1.17247022
AP3M1,0.004452683,1.131705219
AP3S1,3.53E-07,1.30114779
APCDD1L,0.000505742,2.79317449
APCS,0.000233437,2.356015804
APC,0.005806927,1.241060915
APEX2,4.96E-05,1.207598536
APH1A,3.29E-07,1.202653126
API5,0.004643606,1.115852341
APIP,2.02E-07,1.461470697
APLNR,2.46E-08,3.689956095
APLN,9.82E-11,2.865557585
APOA1BP,5.12E-06,1.288543546
APOL4,0.00676133,1.699351709
APOL5,0.000292465,1.097779586
APOLD1,1.67E-07,2.118300839
APOOL,0.000418799,1.701588545
AQP11,0.00292651,1.395809678
AQP6,0.001791659,2.95939204
AQP7P1,3.26E-06,3.614905921
AQP7P3,1.74E-05,2.318425335
AQR,0.000200626,1.25973677
ARAF,0.006496904,1.146886576
ARAP3,3.31E-06,1.951307694
ARCN1,2.84E-06,1.257251633
ARC,0.004265717,1.938169187
ARF4,0.007403412,1.174041004
ARFGEF1,7.00E-05,1.284991941
ARG2,1.50E-11,3.588751367
ARHGAP20,2.14E-07,2.245621191
ARHGEF15,3.85E-07,2.110843758
ARID3A,3.71E-07,1.652107621
ARID5B,0.001838066,1.324374471
ARL15,2.76E-06,1.715705196
ARL4D,0.001272868,1.693100101
ARL8A,0.000175778,1.153931166
ARL9,0.005742409,1.332413462
ARMC1,1.64E-05,1.386429379
ARMC6,0.002529759,1.16196915
ARMCX3,1.08E-08,1.423100232
ARMCX5,5.14E-09,1.365718907
ART4,5.84E-05,2.118915645
ARTN,1.16E-05,1.7464924
ARX,1.44E-08,4.040148148
ASAH1,5.64E-09,1.806031822
ASAP1,5.82E-08,1.579537763
ASB5,0.005059991,1.678014506
ASB8,0.003505383,1.141984702
ASB9,4.13E-06,1.789275607
ASCL1,0.000202944,1.743455084
ASF1A,0.002034306,1.222129642
ASH2L,4.30E-05,1.169198558
ASMTL,0.000126606,1.353538038
ASNA1,0.000846384,1.17659848
ASNSD1,0.000158688,1.220781308
ASPHD2,0.002349949,1.486704358
ASPN,1.42E-05,2.471409368
ASTN1,8.81E-08,4.156754422
ATE1,0.001102701,1.665649285
ATF3,0.009409509,1.689939531
ATF5,7.31E-07,1.430231006
ATG12,0.001070031,1.166082868
ATG2A,0.000822982,1.18906342
ATG4A,0.000739361,1.201508576
ATG4C,0.000521467,1.236491865
ATMIN,7.69E-08,1.272938985
ATOX1,2.86E-05,1.436538565
ATP10B,0.000392266,1.640692086
ATP1A2,0.002158644,1.793490606
ATP1A3,4.13E-07,3.230219414
ATP1B1,0.002335763,1.429819331
ATP1B2,0.001106117,1.980528174
ATP1B3,7.33E-10,1.676390649
ATP5G3,3.79E-05,1.377490007
ATP5J,0.001846845,1.240817695
ATP5S,0.0094249,1.169644887
ATP6AP1,0.000301788,1.184027163
ATP6V0D1,0.004261198,1.208797593
ATP6V0E1,6.23E-10,1.449566756
ATP6V1A,1.53E-06,1.476999428
ATP6V1C1,3.95E-13,1.530829759
ATP6V1E1,0.000128864,1.227512785
ATP6V1G1,0.007121998,1.115379894
ATP6V1H,1.08E-06,1.338875563
ATP7A,0.005160464,1.231774867
AVEN,0.000852765,1.265756447
AVPR1A,0.000546388,2.563864899
AVPR2,0.000170566,3.215235247
AZIN1,3.11E-10,1.499300487
B3GNT1,2.09E-05,1.251068839
B3GNT4,3.36E-08,2.831923545
B4GALNT3,0.001874882,2.379392322
B4GALT3,2.22E-07,1.26832766
BAALC,0.000359366,1.719528987
BAAT,0.001141015,1.70656608
BACH2,2.83E-06,2.250247329
BAG3,8.55E-07,1.425742344
BAG4,0.000796681,1.438936444
BAHCC1,0.009429166,1.539779643
BCAP31,0.001638329,1.187640071
BCAR3,0.001667843,1.305337479
BCAS2,0.000251406,1.216430394
BCAT1,0.002578461,1.550614007
BCL2L13,0.000119672,1.18970975
BCL2L14,0.000257712,1.538346366
BCL2L2,1.44E-06,1.471427826
BCL6B,6.37E-07,2.205381828
BDKRB1,0.006477173,1.830603337
BDKRB2,0.001241787,2.395602632
BEND4,0.004835868,1.405110802
BET1L,0.001322803,1.116376613
BET3L,0.001868751,1.251074134
BEX5,0.00099793,1.70777857
BFSP2,0.002251498,1.427645983
BHLHB9,0.004496556,1.255890514
BHLHE22,0.003837994,1.629436628
BICD1,7.66E-05,1.763926315
BLNK,3.84E-08,2.405692504
BLVRB,1.62E-06,1.474607555
BLZF1,0.001139359,1.228369403
BMP2K,0.005162471,1.329389942
BMPR1B,2.43E-06,5.070162872
BMX,0.001050062,1.465158075
BNIP1,6.51E-05,1.287762289
BNIP3,0.001766091,1.240178139
BOD1,8.62E-08,1.283851769
BOP1,3.77E-05,1.70575215
BPNT1,0.005398199,1.184312025
BRAF,0.004159324,1.291139285
BRMS1L,2.46E-06,1.436102183
BRPF3,0.000537209,1.310260049
BSND,0.001173735,3.231761637
BST2,0.000146063,1.917531697
BTBD11,1.39E-08,4.345827309
BTF3,7.35E-07,1.304902904
BTNL9,0.000813971,1.724326177
BYSL,1.69E-05,1.412136639
C10orf10,0.003922406,1.538301951
C10orf12,0.009023767,1.319097958
C10orf81,0.001112831,2.08766947
C11orf36,0.005971842,1.098211539
C11orf46,0.005944184,1.125422149
C11orf58,0.000125596,1.182693652
C11orf75,5.21E-06,1.490679823
C12orf34,0.000239643,1.808650897
C12orf45,0.004103847,1.27615693
C12orf49,0.003529022,1.240588489
C12orf52,3.60E-09,1.3456136
C12orf62,0.007430519,1.208392127
C13orf15,1.91E-06,1.916963741
C13orf1,4.10E-05,1.222175101
C13orf26,0.008542774,1.109472613
C13orf36,2.21E-05,1.888002524
C13orf38,0.000656352,1.539843334
C14orf132,0.000887667,1.922841134
C14orf143,0.003004248,1.216547272
C14orf149,0.000968802,1.284903278
C14orf167,0.004614884,1.305416627
C14orf180,0.002238762,1.824333164
C14orf49,9.17E-06,1.994923044
C15orf23,3.43E-06,1.296365139
C15orf27,0.000245787,1.816015767
C16orf5,1.75E-07,1.430055893
C16orf63,4.97E-05,1.237586356
C16orf87,3.29E-07,1.490723863
C16orf89,1.55E-08,5.998427604
C17orf102,0.008549311,1.361584848
C17orf55,4.68E-08,2.910431604
C18orf20,0.004338634,1.116583545
C18orf8,0.000128812,1.2105623
C19orf12,8.43E-08,1.37032434
C19orf2,8.62E-07,1.248122919
C19orf42,0.000228683,1.15907804
C19orf52,0.004710221,1.116356821
C1D,0.003176114,1.191107598
C1QL1,0.001076953,2.197578723
C1QTNF2,0.000110417,1.814408817
C1QTNF7,0.000554276,2.24395514
C1S,0.00021448,1.805854492
C1orf163,3.60E-10,1.645109569
C1orf183,0.000490773,1.508499854
C1orf216,0.002325293,1.272891809
C1orf21,4.07E-06,1.922373213
C1orf43,7.97E-15,1.503836726
C1orf54,0.003795944,1.440934317
C1orf55,1.26E-05,1.387978285
C1orf57,2.62E-05,1.282703485
C1orf69,1.23E-05,1.396610341
C1orf74,0.005907489,1.186762957
C1orf85,0.006494345,1.210536348
C1orf94,0.004051103,1.153204896
C20orf103,0.000206723,2.717773342
C20orf141,0.002570633,1.388239391
C20orf160,7.99E-07,2.045528625
C20orf202,0.002437827,1.356406866
C20orf24,0.001090886,1.257739597
C20orf43,0.000723665,1.120904065
C21orf33,4.23E-05,1.354836205
C21orf45,7.28E-05,1.253479979
C21orf70,0.001271633,1.290300835
C21orf82,0.007138207,1.346832663
C2CD4A,3.38E-05,2.872373861
C2orf47,5.84E-06,1.393115182
C2orf69,0.004181664,1.225391026
C2,0.001131798,2.205475283
C3orf20,0.00080446,1.287888169
C3orf38,0.006601882,1.136567492
C3orf55,7.92E-06,3.14484452
C3orf70,2.27E-07,2.312552317
C4orf31,0.003129058,2.886886388
C4orf34,5.52E-05,1.393766874
C4orf50,0.001808585,1.288117417
C5orf22,0.000680431,1.18041649
C5orf24,0.001302588,1.254353558
C5orf30,2.01E-13,1.858148328
C5orf32,0.00042924,1.279675967
C5orf38,0.001259464,2.195544132
C5orf44,0.006752356,1.15438356
C5orf46,0.000569007,1.595968137
C5orf51,0.006893738,1.138660086
C5,5.35E-07,2.054882279
C6orf106,1.08E-11,1.434686698
C6orf120,0.004024598,1.164991686
C6orf129,0.007042448,1.280324999
C6orf153,0.002117242,1.185789005
C6orf176,0.000868155,2.992182744
C6orf211,0.000426059,1.252012806
C6orf223,4.92E-10,4.791854156
C6orf57,0.001904286,1.214037142
C6orf72,1.28E-06,1.541926659
C8G,0.009289601,1.564602461
C8orf41,2.08E-05,1.166791688
C8orf55,2.02E-07,1.374016022
C8orf76,1.43E-05,1.236489627
C8orf80,0.001017578,2.101413014
C9orf21,0.000243013,1.247875189
C9orf25,0.003877696,1.170102225
C9orf30,6.45E-06,1.333774748
C9orf40,1.43E-06,1.485747461
C9orf41,0.000354021,1.796768732
C9orf91,0.000553909,1.266473924
C9orf93,0.002094214,1.399231074
CA12,4.70E-05,2.426287453
CA2,4.15E-07,2.288847501
CA4,1.16E-06,4.923216697
CA8,5.68E-05,2.984004994
CABC1,2.47E-06,1.383764929
CACHD1,8.56E-11,3.191839306
CACNA1C,6.84E-07,2.450785427
CACNA1E,2.48E-06,2.725829201
CACNA1H,1.14E-10,4.229721838
CACNA1S,0.000556441,1.778353376
CACNA2D1,8.92E-08,4.216669934
CACYBP,1.13E-05,1.25671635
